# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       
0.05197       	1.941846e-04	4.828763e-04	1.614180e-04	1.476384e-04	2.707507e-04
0.05198       	1.948440e-04	4.848075e-04	1.619585e-04	1.475105e-04	2.712921e-04
0.05199       	1.953196e-04	4.864612e-04	1.621502e-04	1.480891e-04	2.720798e-04
0.052         	1.948552e-04	4.884792e-04	1.626199e-04	1.479605e-04	2.727961e-04
0.05201       	1.945640e-04	4.933554e-04	1.645264e-04	1.485396e-04	2.735754e-04
0.05202       	1.940231e-04	4.952678e-04	1.650043e-04	1.483949e-04	2.741880e-04
0.05203       	1.948607e-04	4.963630e-04	1.640961e-04	1.490449e-04	2.753348e-04
0.05204       	1.938248e-04	4.982496e-04	1.645408e-04	1.490846e-04	2.771998e-04
0.05205       	1.928787e-04	4.997696e-04	1.647780e-04	1.497922e-04	2.791461e-04
0.05206       	1.915187e-04	5.014888e-04	1.652656e-04	1.498251e-04	2.807432e-04
0.05207       	1.905348e-04	5.032968e-04	1.654224e-04	1.504845e-04	2.824691e-04
0.05208       	1.893182e-04	5.052319e-04	1.658414e-04	1.505502e-04	2.841071e-04
0.05209       	1.885607e-04	5.068966e-04	1.659401e-04	1.506228e-04	2.851751e-04
0.0521        	1.887601e-04	5.076155e-04	1.666659e-04	1.508999e-04	2.858479e-04
0.05211       	1.863047e-04	5.086236e-04	1.672771e-04	1.513135e-04	2.863750e-04
0.05212       	1.844260e-04	5.095595e-04	1.683101e-04	1.512003e-04	2.867231e-04
0.05213       	1.829993e-04	5.102630e-04	1.689017e-04	1.515495e-04	2.871198e-04
0.05214       	1.813886e-04	5.108458e-04	1.697411e-04	1.508972e-04	2.872440e-04
0.05215       	1.817391e-04	5.109060e-04	1.691344e-04	1.516969e-04	2.876484e-04
0.05216       	1.789152e-04	5.113366e-04	1.696545e-04	1.514679e-04	2.877278e-04
0.05217       	1.776647e-04	5.117233e-04	1.697494e-04	1.516992e-04	2.876321e-04
0.05218       	1.765873e-04	5.126458e-04	1.686661e-04	1.507136e-04	2.869234e-04
0.05219       	1.764159e-04	5.134909e-04	1.688258e-04	1.509101e-04	2.861814e-04
0.0522        	1.757157e-04	5.148477e-04	1.694077e-04	1.505767e-04	2.852800e-04
0.05221       	1.755155e-04	5.161614e-04	1.694386e-04	1.506356e-04	2.842572e-04
0.05222       	1.743363e-04	5.172956e-04	1.699265e-04	1.502420e-04	2.832292e-04
0.05223       	1.742237e-04	5.183916e-04	1.698284e-04	1.502028e-04	2.821412e-04
0.05224       	1.732088e-04	5.193662e-04	1.701884e-04	1.497732e-04	2.811046e-04
0.05225       	1.732313e-04	5.201201e-04	1.699862e-04	1.496754e-04	2.798928e-04
0.05226       	1.727574e-04	5.205578e-04	1.687529e-04	1.495138e-04	2.788577e-04
0.05227       	1.726796e-04	5.210417e-04	1.703202e-04	1.490731e-04	2.775733e-04
0.05228       	1.714944e-04	5.216421e-04	1.705253e-04	1.487057e-04	2.763485e-04
0.05229       	1.729848e-04	5.216708e-04	1.680714e-04	1.487978e-04	2.749072e-04
0.0523        	1.721308e-04	5.220998e-04	1.680570e-04	1.482342e-04	2.735393e-04
0.05231       	1.728762e-04	5.222549e-04	1.676974e-04	1.479646e-04	2.723464e-04
0.05232       	1.731455e-04	5.227603e-04	1.677888e-04	1.475179e-04	2.711467e-04
0.05233       	1.746420e-04	5.228641e-04	1.674338e-04	1.475662e-04	2.697818e-04
0.05234       	1.746550e-04	5.236164e-04	1.673935e-04	1.467421e-04	2.683403e-04
0.05235       	1.756868e-04	5.239385e-04	1.670626e-04	1.464357e-04	2.670405e-04
0.05236       	1.763979e-04	5.247281e-04	1.671696e-04	1.460472e-04	2.656615e-04
0.05237       	1.777842e-04	5.250766e-04	1.668660e-04	1.457272e-04	2.641182e-04
0.05238       	1.786277e-04	5.259812e-04	1.704912e-04	1.452669e-04	2.624716e-04
0.05239       	1.791849e-04	5.262348e-04	1.666271e-04	1.451799e-04	2.610701e-04
